DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
China,Harbin Taiping,PMI,Menthol Caps,Full Flavor,STD,KS,1,225450,0
Japan,Naha,PMI,Regular,Full Flavor,STD,KS,10,73052000,0.5
Tunisia,Sfax,PMI,Regular,Full Flavor,STD,KS,9,254540200,1.1
Turkey,Kutahya Airport,PMI,Regular,Full Flavor,SLI,KS,5,26721800,0
China,Kunming Wujiaba,PMI,Menthol,Full Flavor,STD,KS,2,14655600,0.2
Norway,Stavanger,PMI,Menthol Caps,Full Flavor,STD,KS,2,9474000,1.6
Vietnam,Danang,PMI,Menthol Caps,Full Flavor,STD,KS,3,31064600,2.9
Spain,Barcelona,PMI,Regular,Full Flavor,STD,KS,8,1571087200,13.3
Germany,Munich,PMI,Regular,Full Flavor,STD,KS,10,334981200,10.7
Mexico,Mexico City,PMI,NTD Caps,Full Flavor,STD,KS,3,284996400,1.8
Turkey,Samsun Airport,PMI,Regular,Full Flavor,SLI,KS,7,400682800,0.2
Brazil,Florianopolis,PMI,Regular,Full Flavor,STD,KS,10,60139000,1
Turkey,Istanbul Asia Airport,PMI,NTD Caps,Full Flavor,STD,KS,15,6910853600,4.2
Turkey,Trabzon Airport,PMI,NTD Caps,Full Flavor,STD,KS,5,49640000,0
Morocco,Essaouira,PMI,NTD Caps,Full Flavor,STD,KS,3,6714800,0
Tunisia,Monastir,PMI,Menthol Caps,Full Flavor,STD,KS,3,6332800,0
Turkey,Gaziantep Airport,PMI,Regular,Full Flavor,SSL,KS,3,15575800,0
Vietnam,Phu Quok,PMI,Regular,Full Flavor,STD,KS,4,23677200,2.2
Iraq,Basrah,PMI,Regular,Full Flavor,STD,KS,10,251090000,6.9
Dominican Republic,La Romana,PMI,Menthol Caps,Full Flavor,STD,KS,2,2169200,0
India,Mangalore,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Germany,Duesseldorf,PMI,Regular,Full Flavor,STD,KS,9,172488800,5.5
Nigeria,Abuja,PMI,NTD Caps,Full Flavor,STD,KS,1,180000,0.1
Mexico,Cancun,PMI,Regular,Full Flavor,SLI,KS,3,2679226000,16.7
Vietnam,Danang,PMI,Regular,Full Flavor,STD,KS,4,76072000,7.1
Norway,Stavanger,PMI,Regular,Full Flavor,SLI,KS,1,19262400,3.3
Colombia,Cartagena de Indias,PMI,NTD Caps,Full Flavor,STD,KS,2,31156800,0.7
Denmark,Copenhagen,PMI,Regular,Full Flavor,STD,KS,5,50788000,52.5
Iraq,Basrah,PMI,Regular,Full Flavor,SLI,KS,5,112150000,3.1
Great Britain,Aberdeen,PMI,Regular,Full Flavor,STD,KS,4,23210400,0.4
Israel,Tel-Aviv,PMI,NTD Caps,Full Flavor,STD,KS,2,174157600,5.3
Argentina,Buenos Aires Aeroparque,PMI,Regular,Full Flavor,STD,KS,2,6782400,1.6
Japan,Hiroshima,PMI,NTD Caps,Full Flavor,STD,KS,4,3579200,0
Australia,Adelaide,PMI,Regular,Full Flavor,STD,KS,2,207800,0.8
Japan,Chubu,PMI,NTD Caps,Full Flavor,STD,KS,8,161992600,1.2
South Africa,Durban,PMI,NTD Caps,Full Flavor,STD,KS,1,347600,0.1
Mexico,Monterrey,PMI,Menthol Caps,Full Flavor,STD,KS,2,5704400,0
Germany,Cologne,PMI,Regular,Full Flavor,SLI,KS,3,131958936,4.2
Russia,Moscow - Domodedovo,PMI,NTD Caps,Full Flavor,STD,KS,2,1178800,0.2
Singapore,Singapore - Changi,PMI,Regular,Full Flavor,STD,KS,8,88558400,33.9
Great Britain,London Southend Airport,PMI,Regular,Full Flavor,STD,KS,4,3370800,0.1
Italy,Bari,PMI,Regular,Full Flavor,SLI,KS,3,10798400,0.2
China,Nanjing Lukou,PMI,Menthol Caps,Full Flavor,STD,KS,5,158438272,2
Japan,Hiroshima,PMI,Menthol,Full Flavor,STD,KS,1,2870400,0
Morocco,Tangier,PMI,Menthol,Full Flavor,STD,KS,1,28573600,0.1
Jamaica,Montego Bay,PMI,Menthol Caps,Full Flavor,STD,KS,2,32152000,2
South Korea,Busan - Kimhae,PMI,Regular,Full Flavor,SSL,KS,1,63347200,0.4
Japan,Komatsu,PMI,Menthol,Full Flavor,STD,KS,2,2366400,0
Saint Marteen (NL),St. Maarten Princess Juliana,PMI,Menthol Caps,Full Flavor,STD,KS,1,7861875,1.2
Japan,Fukuoka,PMI,Menthol,Full Flavor,STD,KS,4,76236000,0.6
Burundi,Bujumbura,PMI,Regular,Full Flavor,STD,KS,9,17292600,70.4
Vietnam,Cam Ranh,PMI,Menthol,Full Flavor,STD,KS,1,7454200,0.7
India,Trichy,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
France,Strasbourg,PMI,Regular,Full Flavor,SLI,KS,2,5194000,0
Finland,Helsinki-Vantaa,PMI,Regular,Full Flavor,SLI,KS,1,5922800,15.7
Russia,Moscow - Vnukovo,PMI,NTD Caps,Full Flavor,STD,KS,1,4001400,0.7
Tunisia,Tunis,PMI,NTD Caps,Full Flavor,STD,KS,7,466176600,2.1
Dominican Republic,Samana El Catey,PMI,NTD Caps,Full Flavor,STD,KS,1,2352000,0
China,Fuzhou Changle,PMI,NTD Caps,Full Flavor,STD,KS,1,1100000,0
India,Chattrapati Shivaji,PMI,Regular,Full Flavor,SLI,KS,5,314405414,6.7
Laos,Vientiane,PMI,Regular,Full Flavor,STD,KS,3,80399000,55.2
Curazao,Curacao,PMI,Menthol Caps,Full Flavor,STD,KS,1,82425000,3
Cape Verde,Rabil,PMI,Menthol,Full Flavor,STD,KS,1,29681400,0.5
Mexico,Mazatlan,PMI,Menthol Caps,Full Flavor,STD,KS,1,280000,0
Taiwan,Taipei - Taoyuan,PMI,Menthol Caps,Full Flavor,STD,KS,2,62726400,4.7
Peru,Lima,PMI,Regular,Full Flavor,SLI,KS,3,983704600,41
Mexico,Cozumel,PMI,Menthol,Full Flavor,STD,KS,1,5244800,0
Guatemala,Guatemala City,PMI,Menthol Caps,Full Flavor,STD,KS,1,91420000,10.7
Mexico,Los Cabos,PMI,Menthol,Full Flavor,STD,KS,1,63852800,0.4
Jamaica,Kingston,PMI,Menthol,Full Flavor,STD,KS,1,2900480,0.2
Australia,Brisbane,PMI,Menthol Caps,Full Flavor,STD,KS,2,1311822,5.1
South Korea,Seoul (downtown),PMI,Regular,1mg,SSL,KS,1,180200,0
Malaysia,Kuala Lumpur,PMI,Menthol,Full Flavor,SLI,KS,1,7764000,0.8
Cambodia,Sihanoukville,PMI,Menthol Caps,Full Flavor,STD,KS,2,160200,0.2
Saudi Arabia,RIYADH,PMI,NTD Caps,Full Flavor,STD,KS,2,8237800,0.2
Ghana,Accra,PMI,NTD Caps,Full Flavor,STD,KS,1,1884000,0.7
Egypt,Luxor,PMI,,,,,1,32232,0
Ivory Coast,Abidjan,PMI,Menthol,Full Flavor,STD,KS,1,1642600,0.3
France,Toulouse,PMI,Regular,Full Flavor,SLI,KS,2,97358400,0.8
Turkey,Gaziantep Airport,PMI,Regular,Lights,STD,KS,1,1465200,0
Morocco,Oujda,PMI,Menthol Caps,Full Flavor,STD,KS,2,7038400,0
Brazil,Salvador,PMI,Menthol Caps,Full Flavor,STD,KS,1,3360000,0.1
Taiwan,Everrich Downtown Kinmen,PMI,Menthol Caps,Full Flavor,SLI,KS,1,8683600,0.7
Turkey,Konya Airport,PMI,Regular,Lights,STD,KS,1,162800,0
